location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,754,43.90394,-78.866193,,Adelaide Westbound @ Simcoe,754,,2,,1,,
0,755,43.902554,-78.870472,,Adelaide Westbound @ Frances,755,,2,,1,,
0,7698,43.786768,-79.187251,,Ellesmere Eastbound @ Military Trail,7698,,2,,1,,
0,773,43.91553300000001,-78.817411,,Townline Southbound @ Lawson,773,,2,,2,,
0,774,43.91279500000001,-78.816214,,Townline Southbound @ Shankel,774,,2,,2,,
0,775,43.90883,-78.814468,,Townline Southbound @ Nash,775,,2,,2,,
0,786,43.90814300000001,-78.813964,,Townline Northbound @ Nash,786,,2,,2,,
0,787,43.912786,-78.816023,,Townline Northbound @ Shankel,787,,2,,2,,
0,799,43.946346,-78.84174,,Grandview Southbound @ Appleby,799,,2,,1,,
0,800,43.94284300000001,-78.84021,,Grandview Southbound @ Park Ridge,800,,2,,1,,
0,801,43.94091,-78.83936199999998,,Grandview Southbound @ Taunton,801,,2,,1,,
0,802,43.93880915,-78.83840499999998,,Grandview Southbound @ Glenbourne,802,,2,,1,,
0,803,43.937222,-78.837723,,Grandview Southbound @ Ridgemount,803,,2,,1,,
0,804,43.934055,-78.83631699999998,,Grandview Southbound @ Summitview,804,,2,,1,,
0,805,43.929324,-78.834244,,Grandview Southbound @ Rathburn,805,,2,,1,,
0,806,43.92785527,-78.836264,,Grandview Southbound @ Grandlea,806,,2,,1,,
0,807,43.92730266,-78.83848999999998,,Grandview Southbound @ Lindsay,807,,2,,1,,
0,808,43.92517,-78.83938999999998,,Grandview Southbound @ Corbetts,808,,2,,1,,
0,809,43.9229815,-78.8386276,,Grandview Southbound @ Rossland,809,,2,,1,,
0,810,43.940279,-78.849628,,Harmony Northbound @ Taunton (North Side Stop),810,,2,,1,,
0,812,43.942102,-78.848752,,Harmony Terminal,812,,1,,1,,
0,815,43.94033300000001,-78.847847,,Harmony Terminal Southbound @ Taunton,815,,2,,1,,
0,817,43.94750100000001,-78.85074299999998,,Delpark Homes Centre,817,,2,,1,,
0,823,43.939344,-78.850735,,Taunton Westbound @ Harmony,823,,2,,1,,
0,824,43.9384,-78.854926,,Taunton Westbound @ Clearbrook,824,,2,,1,,
0,826,43.936993,-78.861025,,Taunton Westbound @ Wilson (West side stop),826,,2,,2,,
0,827,43.935955,-78.865774,,Taunton Westbound @ Naples,827,,2,,1,,
0,828,43.9354034,-78.8685493,,Taunton Westbound @ Ritson,828,,1,,1,,
0,829,43.93202615,-78.883392,,Taunton Westbound @ Somerville,829,,2,,1,,
0,830,43.931005,-78.887894,,Taunton Westbound @ Patton,830,,2,,1,,
0,831,43.9296729,-78.893897,,Westbound @ 418 Taunton,831,,2,,1,,
0,832,43.92879302,-78.89779906,,Taunton Westbound @ Stevenson,832,,1,,1,,
0,833,43.927623,-78.902849,,Taunton Westbound @ Keith Ross,833,,2,,1,,
0,834,43.9265,-78.907938,,Taunton Westbound @ Thornton,834,,1,,1,,
0,835,43.92524800000001,-78.912558,,Eastbound @ 899 Taunton,835,,2,,1,,
0,836,43.92635520000001,-78.907676,,Taunton Eastbound @ Thornton,836,,1,,1,,
0,837,43.9274802,-78.902595,,Taunton Eastbound @ Keith Ross,837,,2,,1,,
0,838,43.92843734,-78.89858982,,Taunton Eastbound @ Airport,838,,1,,1,,
0,839,43.9295007,-78.8938222,,Eastbound @ 389 Taunton,839,,2,,1,,
0,840,43.930783,-78.888058,,Taunton Eastbound @ Northbrook,840,,2,,1,,
0,841,43.93161,-78.884417,,Taunton Eastbound @ Somerville,841,,2,,1,,
0,843,43.935424,-78.86738099999998,,Taunton Eastbound @ Ritson,843,,1,,1,,
0,844,43.935787,-78.865706,,Taunton Eastbound @ Naples,844,,2,,1,,
0,845,43.936944,-78.860491,,Taunton Eastbound @ Wilson (West side stop),845,,2,,1,,
0,847,43.938297,-78.854571,,Taunton Eastbound @ Clearbrook,847,,2,,1,,
0,848,43.938789,-78.85238699999998,,Taunton Eastbound @ Harmony,848,,2,,1,,
0,853,43.950158,-78.885597,,Conlin Eastbound @ Avalon,853,,2,,1,,
0,854,43.95115100000001,-78.881227,,Conlin Eastbound @ Manor,854,,2,,1,,
0,855,43.951962,-78.877706,,Conlin Eastbound @ Ritson,855,,2,,1,,
0,859,43.937122,-78.869981,,Ritson Southbound @ Ormond,859,,2,,1,,
0,861,43.934373,-78.868973,,Ritson Southbound @ Taunton,861,,1,,1,,
0,862,43.932714,-78.868262,,Ritson Southbound @ Pentland,862,,2,,1,,
0,863,43.929724,-78.866915,,Ritson Southbound @ Beatrice,863,,2,,1,,
0,864,43.927268,-78.865798,,Ritson Southbound @ Oshawa Boulevard (North stop),864,,2,,1,,
0,865,43.92503569,-78.864766,,Ritson Southbound @ Highgate,865,,2,,1,,
0,866,43.923364,-78.864075,,Ritson Southbound @ Wildflower,866,,2,,1,,
0,867,43.92128128,-78.863175,,Ritson Southbound @ Darcy,867,,2,,1,,
0,868,43.917545,-78.861715,,Ritson Southbound @ Rossland,868,,1,,1,,
0,869,43.91508300000001,-78.860639,,Ritson Southbound @ Oshawa Boulevard (South stop),869,,2,,1,,
