shape_id,direction_id,trip_id,direction_name,wheelchair_accessible,trip_headsign,block_id,route_id,service_id
100.0.1952648509161_Timetable_-_2024-02,1,5068__2020_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2020_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5069__2022_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2022_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829421_Timetable_-_2024-02,0,506__64004_Timetable_-_2024-02,Northbound,1,Harmony,b_64004_Timetable_-_2024-02,405,Saturday
100.0.1952648509161_Timetable_-_2024-02,1,5070__2021_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2021_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5071__2012_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2012_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5072__2023_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5073__2019_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5074__2016_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2016_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5075__2014_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5076__2025_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2025_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5077__2024_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2024_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5078__2017_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5079__2015_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2015_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,507__64026_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64026_Timetable_-_2024-02,405,Saturday
100.0.1952648509161_Timetable_-_2024-02,1,5080__2022_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2022_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5081__2021_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2021_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5082__2023_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5083__2019_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5084__2014_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5085__2010_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2010_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5086__4060_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5087__4013_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4013_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5088__4010_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4010_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5089__4060_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.1046829421_Timetable_-_2024-02,0,508__64003_Timetable_-_2024-02,Northbound,1,Harmony,b_64003_Timetable_-_2024-02,405,Saturday
100.0.20812857814_Timetable_-_2024-02,1,5090__4033_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4033_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5091__4007_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4007_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5092__4015_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5093__4011_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4011_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5094__4013_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4013_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5095__4015_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5096__4011_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4011_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5097__4013_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4013_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5098__4010_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4010_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5099__4060_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,509__64014_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64014_Timetable_-_2024-02,405,Saturday
100.0.1952651143_Timetable_-_2024-02,0,50__2036_Timetable_-_2024-02,Northbound,1,C - Taunton,b_2036_Timetable_-_2024-02,112,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5100__4033_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4033_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5101__4009_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4009_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5102__4015_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5103__4011_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4011_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5104__4013_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4013_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5105__4010_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4010_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5106__4010_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4010_Timetable_-_2024-02,901,Weekday_merged_999966
